LOCATION_ID,PLACEKEY,LOCATION,CITY,REGION,ISO_COUNTRY_CODE,COUNTRY
1070,222-222@5x4-483-kmk,Pioneer Association of the State of Washington,Seattle,WA,US,United States
1071,222-222@5x4-48c-py9,Northgate Plaza,Seattle,WA,US,United States
1072,222-222@5x4-49j-fmk,Central Vacuum Service,Seattle,WA,US,United States
1073,222-222@5x4-49r-6x5,Seattle Children's Playgarden,Seattle,WA,US,United States
1074,222-222@5x4-4b2-ghq,Montlake Playfield,Seattle,WA,US,United States
1075,222-222@5x4-4b2-x89,Washington Park Arboretum,Seattle,WA,US,United States
1076,222-222@5x4-4b4-tvz,Seattle Parks and Recreation,Seattle,WA,US,United States
1077,222-222@5x4-4b4-vcq,Terry's Thermador Appliance Experts,Seattle,WA,US,United States
1079,222-222@5x4-4b5-ty9,Washington Trust For Historic Preservation,Seattle,WA,US,United States
1080,222-222@5x4-4b7-btv,Hyperspace,Seattle,WA,US,United States
1081,222-222@5x4-4b7-wrk,Seattle Asian Art Museum,Seattle,WA,US,United States
1082,222-222@5x4-4fy-hwk,Zen GE Monogram Repair,Seattle,WA,US,United States
1083,222-222@5x4-4fy-tn5,The Boat Rental,Seattle,WA,US,United States
1084,222-222@5x4-4g3-jsq,Rose Garden at Woodland Park Zoo,Seattle,WA,US,United States
1085,222-222@5x4-4qw-st9,Thermador Repair Group Industrial Disctrict,Seattle,WA,US,United States
1086,222-222@5x4-4r2-jn5,Buck Creek Presbyterian Camp,Seattle,WA,US,United States
1087,222-222@5x4-4r2-kmk,Lilac Adult Family Home,Seattle,WA,US,United States
1088,222-222@5x4-4vx-4n5,Bridge Gear Park,Seattle,WA,US,United States
1253,222-223@5x4-49k-75z,Seattle Medical & Rehabilitation Center,Seattle,WA,US,United States
1254,222-223@5x4-49x-f75,Naval Reserve Armory,Seattle,WA,US,United States
1255,222-223@5x4-4b3-wzf,Thermador Appliance Mavens,Seattle,WA,US,United States
1256,222-223@5x4-4b4-dgk,Envision Response,Seattle,WA,US,United States
1257,222-223@5x4-4b5-4jv,Thermador Repair Group Seattle,Seattle,WA,US,United States
1259,222-223@5x4-4b5-jjv,Seattle Municipal Tower,Seattle,WA,US,United States
1260,222-223@5x4-4b6-mff,Space Needle,Seattle,WA,US,United States
1261,222-223@5x4-4b7-tgk,Volunteer Park Conservatory,Seattle,WA,US,United States
1262,222-223@5x4-4g3-7t9,Alex's Watch & Clock Repair,Seattle,WA,US,United States
1263,222-223@5x4-4g3-vvf,Boat Electric,Seattle,WA,US,United States
1264,222-223@5x4-4nx-dsq,McIntyre Organ Repair Service,Seattle,WA,US,United States
1265,222-223@5x4-4qg-n89,Seattle Metro Appliance Repair,Seattle,WA,US,United States
1266,222-223@5x4-4xh-xt9,Seattle Chinese Garden,Seattle,WA,US,United States
1328,222-224@5x4-4g3-swk,Molbak's Butterfly Garden,Seattle,WA,US,United States
1329,222-224@5x4-4r2-66k,Washington Care Center,Seattle,WA,US,United States
1330,222-224@5x4-4vt-j5f,Coast Guard Museum,Seattle,WA,US,United States
1331,222-224@5x4-4w8-2rk,JP Custom Upolstery and Repair,Seattle,WA,US,United States
1360,222-225@5x4-487-y9z,Mr. Appliance,Seattle,WA,US,United States
1361,222-225@5x4-48g-59f,High Rated Repair,Seattle,WA,US,United States
1362,222-225@5x4-4vt-bhq,Navy Recruiting District Seattle,Seattle,WA,US,United States
1384,222-226@5x4-4b5-d5f,Expeditors Int'l of Washington,Seattle,WA,US,United States
1385,222-226@5x4-4g3-x5z,Steamworks Espresso Service,Seattle,WA,US,United States
1574,223-222@5x4-48d-dgk,Arc Watch Works & Engraving,Seattle,WA,US,United States
1575,223-222@5x4-4b4-whq,UW Medicine Diabetes Institute,Seattle,WA,US,United States
1576,223-222@5x4-4b5-d9z,American Freestyle Alterations,Seattle,WA,US,United States
1578,223-222@5x4-4nr-435,EcoGuard Appliance,Seattle,WA,US,United States
1579,223-222@5x4-4vt-68v,Downtown Seattle Masters,Seattle,WA,US,United States
1580,223-222@5x4-4vt-975,Pacific Maritime Institute,Seattle,WA,US,United States
1581,223-222@5x4-4xn-dn5,Arbor Heights Elder Care,Seattle,WA,US,United States
1674,223-223@5x4-49z-dgk,Cinderella Tailors,Seattle,WA,US,United States
1675,223-223@5x4-4b5-gtv,Seattle The Top Repair,Seattle,WA,US,United States
1677,223-223@5x4-4fy-qxq,Maximum Performance Hydraulics,Seattle,WA,US,United States
1709,223-224@5x4-4b3-xh5,Lake Union Yacht Center,Seattle,WA,US,United States
1724,223-225@5x4-4vs-qzz,Death Museum Store,Seattle,WA,US,United States
1756,223-22n@5x4-48d-d5f,Seattle Public Schools,Seattle,WA,US,United States
1804,224-222@5x4-4b4-s5z,Merrill Gardens at First Hill,Seattle,WA,US,United States
1805,224-222@5x4-4b5-dsq,Seattle Selfie Museum,Seattle,WA,US,United States
1806,224-222@5x4-4b6-t7q,Kerry Park,Seattle,WA,US,United States
1807,224-222@5x4-4dd-4n5,Malatesta Woodworks,Seattle,WA,US,United States
1808,224-222@5x4-4vw-n5z,Grindline,Seattle,WA,US,United States
1866,224-223@5x4-4fy-jjv,GE Monogram Appliance Repair Service,Seattle,WA,US,United States
1900,224-225@5x4-49y-vvf,Fuller Theological Seminary,Seattle,WA,US,United States
1901,224-225@5x4-4b5-3nq,Appliance Masters In Seattle,Seattle,WA,US,United States
1902,224-225@5x4-4b5-dn5,The ED Clinic,Seattle,WA,US,United States
1917,224-22d@5x4-4r5-8n5,Espresso Technolgies,Seattle,WA,US,United States
1954,225-222@5x4-49j-fmk,Arctic Viking Experts,Seattle,WA,US,United States
1955,225-222@5x4-49x-jqf,Pivot Art Culture,Seattle,WA,US,United States
1956,225-222@5x4-49x-rhq,A Place for Mom,Seattle,WA,US,United States
1957,225-222@5x4-4b4-59f,Fremont Appliance Refit,Seattle,WA,US,United States
1958,225-222@5x4-4b5-hwk,The Bicycle Repair Shop,Seattle,WA,US,United States
1959,225-222@5x4-4b5-ty9,The Summit At First Hill,Seattle,WA,US,United States
1960,225-222@5x4-4qw-mzf,Alcoholics Anonymous,Seattle,WA,US,United States
1961,225-222@5x4-4w7-g8v,Emerald Harbor Marine,Seattle,WA,US,United States
2019,225-223@5x4-48g-r8v,Polar Bear Mechanical,Seattle,WA,US,United States
2020,225-223@5x4-4b3-f4v,Rubber Chicken Museum,Seattle,WA,US,United States
2021,225-223@5x4-4vs-r8v,Lamber Thermador Range Repair Service,Seattle,WA,US,United States
2041,225-224@5x4-49k-5pv,Central Seattle Panel of Consultants Inc,Seattle,WA,US,United States
2049,225-225@5x4-4b2-7dv,Henry Art Gallery,Seattle,WA,US,United States
2113,226-222@5x4-48f-ndv,Kitchen Masters Specialist,Seattle,WA,US,United States
2114,226-222@5x4-4b3-btv,University House Wallingford,Seattle,WA,US,United States
2115,226-222@5x4-4b4-r8v,GameWorks,Seattle,WA,US,United States
2116,226-222@5x4-4b4-sh5,Seattle Tacoma Appliance Repair,Seattle,WA,US,United States
2117,226-222@5x4-4b5-g49,Era Living,Seattle,WA,US,United States
2118,226-222@5x4-4b7-9fz,Eidem's Custom Upholstery,Seattle,WA,US,United States
2119,226-222@5x4-4nz-g8v,All About Seniors,Seattle,WA,US,United States
2120,226-222@5x4-4ty-tqf,European Senior Care,Seattle,WA,US,United States
2158,226-223@5x4-4r5-3bk,Museum Of Communications,Seattle,WA,US,United States
2159,226-223@5x4-4vz-snq,Amusement Services,Seattle,WA,US,United States
2179,226-225@5x4-49j-wx5,Adam Tailoring & Alterations,Seattle,WA,US,United States
2218,227-222@5x4-4b3-skf,Good Shepherd Center,Seattle,WA,US,United States
2219,227-222@5x4-4d9-975,The Langland House Adult Family Home,Seattle,WA,US,United States
2220,227-222@5x4-4qv-z75,They Shall Walk Museum,Seattle,WA,US,United States
