TRUCK_ID,HOUR,AVERAGE REVENUE PER HOUR,DATE
27,8,3454.139404,9/3/2022
27,9,5423.81543,9/3/2022
27,10,3111.211914,9/3/2022
27,11,3654.976807,9/3/2022
27,12,6545.557617,9/3/2022
27,13,4726.185547,9/3/2022
27,14,1631.699341,9/3/2022
27,15,1697.998413,9/3/2022
27,16,2431.530762,9/3/2022
27,17,4973.702148,9/3/2022
27,18,6346.413574,9/3/2022
27,19,7030.75,9/3/2022
27,20,6607.761719,9/3/2022
27,21,5517.931641,9/3/2022
27,22,1122.709106,9/3/2022
27,23,700.1054077,9/3/2022
1,8,917.3586426,2/8/2022
1,9,1495.94165,2/8/2022
1,10,865.2262573,2/8/2022
1,11,989.3276978,2/8/2022
1,12,1462.261597,2/8/2022
1,13,1077.047119,2/8/2022
1,14,420.1330872,2/8/2022
1,15,345.8314209,2/8/2022
1,16,522.0727539,2/8/2022
1,17,1120.645996,2/8/2022
1,18,1417.89917,2/8/2022
1,19,1591.242065,2/8/2022
1,20,1469.709717,2/8/2022
1,21,1325.607544,2/8/2022
1,22,301.6156006,2/8/2022
1,23,-65.46299744,2/8/2022
2,8,1455.519409,2/8/2022
2,9,2207.13208,2/8/2022
2,10,1422.761597,2/8/2022
2,11,1583.988159,2/8/2022
2,12,2315.021973,2/8/2022
2,13,1673.22229,2/8/2022
2,14,731.0601196,2/8/2022
2,15,635.6120605,2/8/2022
2,16,960.7975464,2/8/2022
2,17,1850.615845,2/8/2022
2,18,2374.38208,2/8/2022
2,19,2623.526855,2/8/2022
2,20,2495.168945,2/8/2022
2,21,2144.192627,2/8/2022
2,22,459.2174988,2/8/2022
2,23,193.9457092,2/8/2022
13,8,1182.635254,2/8/2022
13,9,1827.371826,2/8/2022
13,10,1029.503784,2/8/2022
13,11,1171.351807,2/8/2022
13,12,1718.857666,2/8/2022
13,13,1270.941528,2/8/2022
13,14,498.2104187,2/8/2022
13,15,569.5576172,2/8/2022
13,16,733.265625,2/8/2022
13,17,1452.794312,2/8/2022
13,18,1885.860474,2/8/2022
13,19,2081.133057,2/8/2022
13,20,1947.927734,2/8/2022
13,21,1828.521973,2/8/2022
13,22,397.136322,2/8/2022
13,23,105.3875046,2/8/2022
17,8,3995.197266,2/8/2022
17,9,6851.73877,2/8/2022
17,10,4113.343262,2/8/2022
17,11,4606.37207,2/8/2022
17,12,7505.65332,2/8/2022
17,13,5442.522949,2/8/2022
17,14,2102.089355,2/8/2022
17,15,1931.404785,2/8/2022
17,16,3009.192871,2/8/2022
17,17,6086.267578,2/8/2022
17,18,8099.85791,2/8/2022
17,19,8970.838867,2/8/2022
17,20,8015.977051,2/8/2022
17,21,6932.156738,2/8/2022
17,22,1138.908936,2/8/2022
17,23,882.979248,2/8/2022
21,8,1629.760132,2/8/2022
21,9,2718.599854,2/8/2022
21,10,1579.630737,2/8/2022
21,11,1762.690918,2/8/2022
21,12,2778.929688,2/8/2022
21,13,1956.004395,2/8/2022
21,14,714.0001831,2/8/2022
21,15,776.727417,2/8/2022
21,16,1107.342285,2/8/2022
21,17,2326.44165,2/8/2022
21,18,3150.321289,2/8/2022
21,19,3447.300293,2/8/2022
21,20,3300.466064,2/8/2022
21,21,2669.696777,2/8/2022
21,22,408.5800171,2/8/2022
21,23,234.4816589,2/8/2022
28,8,2886.433105,2/8/2022
28,9,4739.588867,2/8/2022
28,10,2744.89624,2/8/2022
28,11,3122.177979,2/8/2022
28,12,4876.866699,2/8/2022
28,13,3531.847412,2/8/2022
28,14,1306.34314,2/8/2022
